Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population
66547.01645362453,5.846095299515025,6.847298109942501,4.13,27850.822901481988
53722.00859945353,6.401391354926232,7.78776441960636,3.3,47649.224664566515
64838.49289874493,6.437157061821816,8.699543872833365,4.02,32921.0100678544
67097.09212004836,6.086754299256453,7.211962930677832,3.05,27191.50687743901
75245.46543563096,8.167820350087936,7.420099548237411,3.42,37410.66992826226
60029.43263995295,5.714878537856567,7.990513702020805,6.01,32818.06713289881
50794.028585758875,6.724739782981378,8.002862630776745,6.07,39943.63819097858
64455.779102362474,6.152455871210084,7.425795787843709,6.14,29066.217805677403
65566.35691483965,8.082879393187545,7.302751132163054,6.15,30117.17187850544
65907.94667875711,5.506412845218173,5.727202198568503,3.39,33303.543103477146
77049.01998597258,5.6148538267499495,5.657957745852972,2.17,19146.68419271625
65687.10668176552,7.0361747005541755,6.574065780115001,4.41,17386.475952392157
75250.20708354558,6.6190058438081385,6.5002339294460825,4.0,34098.374800702186
57876.99536422139,3.485869966514756,5.961239758789812,4.25,36800.46042486138
54700.29345575507,6.765221600349139,4.968281480737257,4.34,46224.49329118832
89112.70262747677,6.56744067647224,8.015034156691021,3.46,29673.022640316405
66477.26279229036,6.982151725125714,6.038487979300023,2.37,32458.98669901376
84040.50024076694,6.322338023741593,5.275145433450397,2.24,44711.08062058793
66629.25455604188,7.593559141490211,7.073690936471975,4.48,37261.318277668965
64608.22230776664,4.057007399777069,6.3824720301330045,4.43,36947.259039664976
82264.37267772671,5.557317233690862,8.106417159937168,5.05,34066.609045555386
73411.34234622207,6.073571969943877,9.29557101552958,5.1,28435.15125180109
53306.92213650367,4.632267718361729,6.194794324882633,2.15,39063.33871389049
57873.65898220737,7.311920547986264,7.6793061241963985,3.32,28510.41410047265
87113.7922030133,5.360632459652583,6.384181936457624,2.42,31172.880167409297
69099.4035122311,5.600101650690401,5.408604779515621,3.49,37540.31002608573
72392.88503561032,5.581331967610668,7.081653163943845,4.23,23997.45355405209
54407.07784962707,6.402339097115496,7.423947630561424,3.3,36707.941633054936
80256.98118744831,6.4112217810521255,5.279549359619933,2.39,40240.57931741727
59078.514287125945,6.042080098723272,5.9217956307590915,4.1,34655.93990709911
69336.42523436133,6.757390576094763,6.1248009886611054,2.29,37592.845062318345
62500.96326291021,4.8001441555455475,7.39791547194109,6.07,38180.264522552214
67470.51038133014,4.758460328840356,6.862994371844202,2.33,32200.515338758574
51796.13357752653,6.248382613471702,7.1793538831681,6.43,31178.43799669047
66698.24733240019,5.392094464520575,6.996383045073816,4.08,40558.23901698502
66347.04470785579,4.643660663194293,5.335454983971137,2.11,44644.247790468246
75046.84820392633,4.983084628511218,8.877240041623617,3.0,32468.031152300973
68311.99650155718,6.833040608845022,5.955943931295643,4.36,39724.18881198779
77021.41650498196,6.269371897145731,7.665643100697559,3.35,27855.39454191609
61868.60746252615,5.787124105770914,4.774978250870109,3.17,34967.075630842235
66006.17955972417,6.107907982328986,7.370410988881261,4.06,40691.23866160479
76149.22101585673,3.430713497952932,7.383674760135992,4.31,30532.99239461205
71232.91398344806,4.235712056044939,5.800259721360161,2.07,31088.890171173745
69624.25526519057,3.8546175682080808,6.893908707137508,2.04,29292.129427585587
75025.96428821646,3.386003828705174,6.119781300071491,4.07,33970.36011401802
66064.53282345735,6.659561749956957,6.881398143145441,4.4,44561.33359231657
74095.71281459706,5.908764789337825,6.847362326302656,3.0,32774.02197481578
75582.4597645351,5.506473429253344,6.774986418531476,4.33,31946.30386752329
79442.505795037,6.300600085463341,5.9832047216642525,2.45,4114.489353324316
71298.90667414536,7.7125753374539965,8.004989582540986,5.26,32345.387931697667
61687.869796313855,5.418324640776183,7.334991821398235,3.48,34760.760268288344
69380.83776857436,6.1855059419739336,6.115470080853528,4.16,25327.68669623837
70280.68819235449,4.6251643291189595,5.62550981808095,2.37,38916.17468816861
68201.41248629357,4.196947770272235,5.969959493652295,2.3,43468.164464824906
42943.936008646095,6.289222852035643,8.366067624474567,3.25,34468.87383158075
77163.30056977611,5.052311501306062,7.514062031634271,6.06,27766.761938961525
57868.26663232143,6.042906909280298,7.423526770172239,6.27,45196.15396424709
71816.27642579848,5.494487520449796,8.62926840652209,6.27,41178.26119175778
73649.39696434651,6.471256486419513,5.667117320554232,4.07,47992.34474372509
68652.60921090658,6.124342100310332,6.290820166996657,4.42,39355.625729470295
56849.221106502686,4.043752332331992,6.781536869737978,3.19,43522.68517785573
75999.6975165712,6.490186036356107,7.241035565418122,4.21,35183.720257909146
66644.29034248486,8.156846515190841,5.864071285895754,3.19,36858.96770424608
60710.16208195745,5.399849594465637,7.920511375049014,6.41,44101.240526968766
69248.29958792876,5.958735586989858,5.652694477356138,2.21,35990.10338695565
65706.75563843455,6.180693957432935,5.698131455817793,4.31,42527.78565855737
44426.262982377666,6.205941992078737,8.312282104966862,3.06,55838.913085095
74791.01675490434,6.11342940601403,7.480408801422413,6.45,29153.79964988065
68738.36521464473,4.186458038028757,5.987896443725842,3.44,47445.35916724482
70921.56856864705,5.665185384549687,6.375371505488283,3.28,29390.21727018504
77413.92751058174,6.2047892378054526,6.549836017420472,3.21,28795.12019644605
64035.51065186997,5.649874971268113,6.349387980051754,2.17,47334.622270646214
68599.04341313866,4.526574351554972,8.781110948035272,5.45,44339.96289346858
69878.7741990808,7.218330987033392,6.2491922346316775,4.02,26814.17474758404
74910.40482670155,5.949550209109889,7.15219861879022,6.26,39407.693743394695
78074.94799318898,5.691650411637049,7.735931940846429,4.06,58051.60065964049
62773.52097668653,4.4968436530521245,6.803529578504777,4.06,41389.36487082298
61310.280028198045,7.951206604849397,7.131255780303063,4.39,33201.053712740766
68779.1742956941,5.1986505736867095,7.836796128173754,6.11,18901.415431760703
66098.5707230868,5.875820407976882,6.586904028286057,2.13,28433.850349050732
86340.2872916062,4.930051000348545,6.183440077191862,3.01,35630.560451493104
53641.310287403176,4.50962279049937,7.728757647408083,5.4,36472.17905089275
84364.70732803376,4.698058035364999,7.107708221756831,3.46,50521.10423450762
74838.65747339962,5.919090478688957,7.54327640412288,6.0,23637.25636750912
67814.41733795527,6.33241301352278,5.960443411222234,4.37,35102.9959983678
61951.17043520197,6.0651836711903275,7.438633339680427,5.43,31521.27570993935
76287.4682012735,6.654227602295674,4.985136206837568,2.27,35212.743880369235
61526.974447976725,6.593962539007936,9.180401428602025,6.11,27307.948031413587
62840.190473925264,6.389363528618119,6.002304868294862,3.33,35658.692679981235
70213.64600245218,5.913556736656338,5.829800995829703,3.26,34386.429780147584
66764.39845179237,5.098117276351379,8.646249013675773,6.18,28467.211441719588
54203.30082483788,7.298337307155216,6.204286864712616,2.49,60388.344247520276
85313.88545069011,6.033157792417207,6.633757594605541,4.21,23974.435567517416
74598.43175721179,5.04287588721026,6.602190803515652,3.3,44568.66968700314
71930.60955322192,4.493521763486514,6.762292739450368,4.18,23234.26874828521
51992.74329122318,7.186340287111901,7.1382339139464035,3.32,21759.506125993168
57782.41707710912,5.15930097752672,6.332626733044224,2.46,33426.84937548807
72748.51296470863,6.879262946023033,8.783143977411184,6.28,40137.50244291957
78274.52642510412,4.910953601413371,8.621772096135357,4.08,56299.77259934372
73732.21222715949,4.9154842203837505,7.747907541313155,6.5,36734.74419796701
52446.26685600125,5.694610807792681,7.429639244113227,3.11,32934.553200974915
63335.794905723655,6.295120484433175,6.30811423776209,3.44,35469.028665063226
88733.44803038333,4.7400321868086985,7.914386739965973,4.0,32505.916374085224
60288.475915401374,6.1702391538252845,7.0143146411558375,3.28,34651.072316906946
61957.15430368169,7.841080501837604,7.472966963481972,4.19,38448.49148202493
45073.89517578935,8.333101975109903,4.6351611078852955,3.3,38066.161296912505
79663.79739669301,6.679506176429633,5.233763008437677,3.0,32806.85495044011
